Label,Name,Text
6,Cavalier Mustang, The Cavalier Mustang was a post-World War II civilian-modified version of the North American P-51 Mustang aircraft. Although originally intended as a high speed personal aircraft the Cavalier was also exported for use as a fighter and close air support aircraft to third world air forces.
6,Virginia (pinnace), The Virginia or Virginia of Sagadahoc was a pinnace built in 1607-08 by colonists at the Popham Colony. She was the first English-built ship in what is now Maine and possibly in all of the English-colonized areas of North America.
3,Cherifa, Ouardia Bouchemlal (January 9 1926 – March 13 2014) was an Algerian female singer-songwriter originally from Kabylia that has composed hundreds of songs in more than 40 years of artistic life.
9,Moktha, Moktha is a village in Mingin Township Kale District in the Sagaing Region of western Burma. It is located close to the left bank of the Chindwin River.
4,Roger Mayweather, Roger Mayweather (born April 24 1961) is a retired professional boxer. He won two major world titles in two different weight classes. Throughout his career Mayweather fought against many other boxing champions of the 1980s and 1990s. He is a part of the Mayweather boxing family; his brothers are former welterweight contender Floyd Mayweather and former IBO super featherweight champion Jeff Mayweather and his nephew is five-division world champion Floyd Mayweather Jr.
11,Monardella hypoleuca, Monardella hypoleuca is a species of flowering plant in the mint family known by the common name thickleaf monardella. It is native to the southern half of California where it grows in the coastal hills and mountain ranges in local habitat including chaparral and woodland. Its range may extend into Baja California.
2,Institute of Technology Carlow, The Institute of Technology Carlow (ITC) is located to the south of Carlow Ireland on the Kilkenny Road. It was the first such college announced and located in 1964.
14,Fire Dreamer, Fire Dreamer is the second novel in the Star Dancer series written by the British author Beth Webb and published in 2007 by Macmillan Publishers.
9,Kapı Karataş, Kapı is a village in the District of Karataş Adana Province Turkey.
11,Acacia sarcophylla, Acacia sarcophylla is a species of legume in the Fabaceae family.It is a perennial shrub found in Somalia and Yemen.It is threatened by habitat loss and is on the World Conservation Union Red List.
3,Dan Bull, Dan Bull is an English rapper and songwriter known for his politically oriented lyrics and specific addressing of high profile figures in his music. His music has been featured in the British press as part of attempts to save BBC Radio 6 campaign against the Digital Economy Bill and protest in favour of filesharing.
5,Steve Theriot, Steven J. Theriot known as Steve Theriot (born 1946) is a Certified Public Accountant from Marrero in Jefferson Parish Louisiana USA who served as his state’s legislative auditor from 2004–2009 and as a Democratic member of the Louisiana House of Representatives from 1988-1996.
8,Lake Range, The Lake Range is a mountain range located in western Nevada in the United States. It is entirely in Washoe County and the southern two-thirds are in the Pyramid Lake Indian Reservation. The range runs north-south for approximately 36 miles (58 km) and a width of generally less than 8 mi (13 km).The range is situated between Pyramid Lake to the west and the dry Winnemucca Lake to the east. To the southeast is the Mud Lake Slough which previously connected Pyramid Lake to Winnemucca Lake.
14,Cry Slaughter!, Cry Slaughter! is a 1957 novel by Filipino author Edilberto K. Tiempo. Before the novel’s revision for publication in the United States it was first published in the Philippines as Watch in the Night in 1953. In the United States the renamed novel was printed four times by Avon in New York City. In 1959 Cry Slaughter! was published and assigned the number R306 by Digit Books. It had been published as a hardbound book in London England.
9,Libchyně, Libchyně is a village and municipality in Náchod District in the Hradec Králové Region of the Czech Republic.
13,I Was a Teenage Zombie, I Was a Teenage Zombie is a 1987 film. Though it had a very low budget and unknown actors it attracted a cult following.
14,Bones and Silence, Bones and Silence is a crime novel by Reginald Hill the eleventh novel in the Dalziel and Pascoe series. The novel received the Gold Dagger Award in 1990.
4,Joe Tubman, Robert Joseph Joe Tubman (born August 18 1897 in Ottawa Ontario died November 29 1975 in Ottawa Ontario) was a star football player in the Canadian Football League for thirteen seasons for the Ottawa Rough Riders. Tubman led his team to two Grey Cup wins in 1925 and 1926. After retiring from the field Tubman worked as a referee for 15 years. He was inducted into the Canadian Football Hall of Fame in 1968 and into the Canada's Sports Hall of Fame in 1975.
5,Felipe Sapag, Felipe Sapag (February 14 1917 – March 14 2010) was an Argentine politician governor of Neuquén Province on five occasions and a leading figure in the Neuquén People's Movement and the locally influential Sapag family.
4,Georges Pasquier, Georges Pasquier (born March 11 1878) was an early twentieth century French road racing cyclist who participated in the 1903 Tour de France and finished eighth.
13,The Dhamma Brothers, The Dhamma Brothers is a documentary film released in 2007 about a prison meditation program at Donaldson Correctional Facility near Bessemer Alabama. The film features four inmates all convicted of murder and includes interviews with guards prison officials local residents and other inmates and reenactments of their crimes.
12,Whitey Ford Sings the Blues, Whitey Ford Sings the Blues (1998) is the second solo album by singer-songwriter-emcee Everlast and the first one following his departure from House of Pain. It was released a full eight years after his solo debut (Forever Everlasting) and after he had a major heart attack.Whitey Ford Sings the Blues was both a commercial and critical success (selling more than 3 million copies).
